Record,Gender,No_kids,Education,HasCar,Income,PropertyValue,Loan_Period,Credit_Record,Housing_type,Property_Purchased
Record164,Male,2,Not Graduate,No,4309,99200,336,1,Mid Range,Y
Record173,Male,2,Graduate,No,4089,96000,336,1,Mid Range,Y
Record174,Female,2,Graduate,Not Answered,4125,96000,336,1,Mid Range,Y
Record177,Male,2,Graduate,No,4410,92800,336,1,Mid Range,Y
Record189,Male,2,Not Graduate,No,4043,86400,336,1,Mid Range,Y
Record190,Male,2,Graduate,No,3979,85600,336,1,Mid Range,Y
Record202,Female,2,Not Graduate,Not Answered,231,78400,336,1,Mid Range,Y
Record203,Male,2,Not Graduate,Yes,2063,77600,336,1,Mid Range,Y
Record204,Male,2,Graduate,No,2979,77600,336,1,Mid Range,Y
Record208,Male,2,Graduate,No,4245,76800,336,1,Mid Range,Y
Record213,Male,2,Graduate,No,4290,72000,336,1,Mid Range,Y
Record217,Male,2,Graduate,No,3253,64800,336,1,Mid Range,Y
Record228,Male,2,Not Graduate,No,2412,36000,336,1,Mid Range,Y
Record232,Male,2,Graduate,No,7370,184000,276,1,Mid Range,Y
Record236,Male,2,Graduate,No,6875,150400,156,1,Mid Range,Y
Record240,Male,2,Not Graduate,No,2193,90400,156,1,Mid Range,Y
Record246,Male,2,Graduate,No,5416,132800,336,0,Mid Range,Y
Record253,Male,2,Graduate,No,18333,220000,336,1,Premium,Y
Record254,Male,2,Graduate,Yes,5959,213600,336,1,Premium,Y
Record259,Male,2,Graduate,No,12559,180000,336,1,Premium,Y
Record261,Male,2,Graduate,No,3381,160000,336,1,Premium,Y
Record262,Male,2,Graduate,No,6358,153600,336,1,Premium,Y
Record265,Male,2,Graduate,No,8342,149600,336,1,Premium,Y
Record271,Male,2,Graduate,No,4407,134400,336,1,Premium,Y
Record276,Male,2,Graduate,No,3612,118400,336,1,Premium,Y
Record278,Male,2,Not Graduate,No,3693,115200,336,1,Premium,Y
Record286,Male,2,Graduate,No,3469,107200,336,1,Premium,Y
Record288,Male,2,Graduate,No,5931,104000,336,1,Premium,Y
Record292,Male,2,Not Graduate,No,3392,100800,336,1,Premium,Y
Record300,Male,2,Graduate,No,3410,90400,336,1,Premium,Y
Record301,Male,2,Graduate,No,10674,89600,336,1,Premium,Y
Record303,Male,2,Not Graduate,No,4649,88000,336,1,Premium,Y
Record306,Male,2,Graduate,Not Answered,2750,87200,336,1,Premium,Y
Record318,Male,2,Graduate,Yes,3648,70400,336,1,Premium,Y
Record319,Male,2,Not Graduate,No,3601,64800,336,1,Premium,Y
Record324,Female,2,Graduate,No,16353,56000,336,1,Premium,Y
Record325,Male,2,Graduate,No,3520,56000,336,1,Premium,Y
Record339,Male,2,Graduate,No,12933,149600,156,1,Premium,N
Record341,Male,2,Not Graduate,No,4717,106400,156,1,Premium,N
Record346,Male,2,Graduate,No,2532,62400,156,1,Premium,N
Record349,Male,2,Graduate,No,1429,13600,96,1,Premium,N
Record350,Male,2,Graduate,No,3475,86400,60,1,Premium,N
Record363,Male,2,Not Graduate,Yes,7022,149600,336,1,Affordable,N
Record364,Male,2,Graduate,No,5547,148000,336,1,Affordable,N
Record374,Male,2,Not Graduate,No,4620,103200,336,1,Affordable,N
Record378,Male,2,Not Graduate,No,2510,90400,336,1,Affordable,N
Record395,Male,2,Graduate,No,3674,120000,336,0,Affordable,N
Record398,Male,2,Not Graduate,No,2540,100000,336,0,Affordable,N
Record403,Male,2,Graduate,No,3947,88000,336,0,Affordable,N
Record406,Male,2,Graduate,No,3902,64000,336,0,Affordable,N
Record411,Male,2,Not Graduate,No,6738,149600,456,1,Mid Range,N
Record429,Male,2,Graduate,Yes,6600,164000,216,1,Mid Range,N
Record442,Male,2,Graduate,No,4840,101600,336,0,Mid Range,N
Record446,Male,2,Graduate,Yes,2999,84800,336,0,Mid Range,N
Record451,Male,2,Graduate,Not Answered,5500,57600,336,0,Mid Range,N
Record459,Male,2,Graduate,Yes,1760,191200,336,1,Premium,N
Record462,Female,2,Graduate,No,1516,133600,336,1,Premium,N
Record465,Female,2,Graduate,No,3770,110400,336,1,Premium,N
Record466,Male,2,Graduate,No,5078,107200,336,1,Premium,N
Record471,Male,2,Graduate,No,5023,80000,336,1,Premium,N
Record486,Male,2,Graduate,No,9679,206400,336,0,Premium,N
Record487,Male,2,Graduate,No,4180,172800,336,0,Premium,N
Record505,Male,2,Not Graduate,No,3178,36000,156,0,Premium,N
Record4,Male,3,Graduate,No,16500,240000,336,1,Affordable,Y
Record5,Male,3,Graduate,No,10455,220000,336,1,Affordable,Y
Record6,Female,3,Graduate,No,3392,204000,336,1,Affordable,Y
Record14,Male,3,Graduate,No,10084,148000,336,1,Affordable,Y
Record32,Male,3,Graduate,No,3813,120000,336,1,Affordable,Y
Record45,Male,3,Not Graduate,Yes,6274,104000,336,1,Affordable,Y
Record46,Male,3,Graduate,No,9625,104000,336,1,Affordable,Y
Record59,Male,3,Not Graduate,No,3405,90400,336,1,Affordable,Y
Record74,Male,3,Graduate,Yes,6245,80000,336,1,Affordable,Y
Record75,Male,3,Graduate,No,2933,76000,336,1,Affordable,Y
Record87,Male,3,Graduate,No,7059,125600,156,1,Affordable,Y
Record90,Male,3,Graduate,No,4517,32000,156,1,Affordable,Y
Record95,Male,3,Not Graduate,No,2279,75200,456,1,Mid Range,Y
Record102,Male,3,Graduate,Yes,11153,208000,336,1,Mid Range,Y
Record116,Male,3,Graduate,No,5684,160000,336,1,Mid Range,Y
Record118,Male,3,Graduate,Yes,5793,149600,336,1,Mid Range,Y
Record138,Male,3,Not Graduate,No,5178,118400,336,1,Mid Range,Y
Record165,Male,3,Graduate,No,4777,99200,336,1,Mid Range,Y
Record198,Male,3,Not Graduate,No,4235,80000,336,1,Mid Range,Y
Record199,Male,3,Graduate,No,5161,80000,336,1,Mid Range,Y
Record219,Male,3,Not Graduate,No,3491,59200,336,1,Mid Range,Y
Record249,Male,3,Graduate,No,43999,480000,156,0,Mid Range,Y
Record291,Male,3,Graduate,No,6274,102400,336,1,Premium,Y
Record305,Male,3,Graduate,Not Answered,4858,88000,336,1,Premium,Y
Record311,Male,3,Graduate,No,4710,80000,336,1,Premium,Y
Record312,Male,3,Graduate,No,3332,79200,336,1,Premium,Y
Record342,Male,3,Graduate,No,8514,102400,156,1,Premium,N
Record352,Male,3,Not Graduate,Yes,7810,100000,36,1,Premium,N
Record353,Male,3,Graduate,No,4767,128000,336,0,Premium,N
Record357,Male,3,Graduate,No,13750,256000,336,1,Affordable,N
Record366,Male,3,Not Graduate,No,2912,138400,336,1,Affordable,N
Record389,Male,3,Not Graduate,No,3875,64800,156,1,Affordable,N
Record392,Male,3,Graduate,No,89100,288000,336,0,Affordable,N
Record399,Male,3,Graduate,No,3740,98400,336,0,Affordable,N
Record414,Male,3,Graduate,No,4400,232000,336,1,Mid Range,N
Record422,Male,3,Graduate,No,7047,120000,336,1,Mid Range,N
Record434,Male,3,Graduate,No,6068,396000,336,0,Mid Range,N
Record438,Male,3,Graduate,No,3340,126400,336,0,Mid Range,N
Record441,Male,3,Graduate,No,3773,102400,336,0,Mid Range,N
Record452,Male,3,Graduate,No,3484,144000,276,0,Mid Range,N
Record472,Male,3,Graduate,No,5775,75200,336,1,Premium,N
Record504,Male,3,Not Graduate,No,3242,56000,156,0,Premium,N
