description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
"Perfect condition, barely used, no scratches or damage, still in the box along with the charger",1,300,Used,0,None,Unknown,16,Unknown,1,10869
Perfect condition. NO scratches or dents.,0,380,Used,Unknown,Unknown,Black,16,Unknown,0,11587
Perfect working order,0,259.99,Seller refurbished,0,None,Unknown,16,iPad 4,0,11063
Physically in GREAT shape; minor scratching-- so minor that I couldn&#039;t get a clear photo of any. ,1,0.99,For parts or not working,0,None,Black,16,iPad mini,1,11726
"Pin locked, home button does not work.",0,129.95,For parts or not working,0,None,Black,16,iPad 2,0,11673
Please read details below.,0,394.99,Used,0,None,Unknown,16,iPad Air 2,0,10546
Please Read. No Returns.,0,69.95,For parts or not working,0,None,Unknown,16,iPad 2,0,11614
Please scroll down to see pictures and full description,0,29.99,For parts or not working,1,AT&T,Black,16,iPad 1,1,11707
Please see below,0,229,Used,0,None,Unknown,16,iPad Air,0,11799
Please see images and refer closely to the description.,1,0.99,Used,0,None,White,16,iPad mini,1,10174
"Power cord works, however is beginning to crack. (Please see picture). VERY small dents in top and ",1,39.99,Used,0,None,White,16,iPad 2,1,10627
"Pre-owned but in perfect working order, no scratches or chips.",1,200,Used,1,AT&T,White,16,iPad mini 2,1,10652
Previously Owned. Please read the entire auction. Tablet has only a very light scratches on back of ,1,295,Used,1,Verizon,Space Gray,16,iPad Air 2,1,10342
"Previously used, please read description. May show signs of use such as scratches to the screen and ",1,0.99,Used,1,Verizon,Unknown,16,iPad 2,1,10002
"Previously used, please read description. May show signs of use such as scratches to the screen and ",1,0.99,Used,1,Verizon,Unknown,16,iPad 2,1,10064
"Professionally inspected, reset and cleaned in very good cosmetic and working condition. Units may ",0,119.99,Used,0,None,Black,16,iPad 1,0,11240
PROFESSIONALLY REFURBISHED in EXCELLENT LIKE NEW CONDITION in ORIGINAL APPLE BOX - COMES WITH 30 DAY ,0,264.99,Manufacturer refurbished,0,None,White,16,iPad 4,0,11781
READ DESCRIPTION SOLD AS IS NO RETURNS,0,157,For parts or not working,1,Verizon,Unknown,16,iPad 2,0,11684
READiPad is used but in excellent condition. Absolutely nothing wrong with it and it has recently ,1,114.99,Used,0,None,Unknown,16,iPad mini,1,10113
"Refurbished by Best Buy Geek Squad Comes With Apple Manufactures Warranty Good till March 1, 2016",1,0.99,Seller refurbished,1,Unknown,Gold,16,iPad Air 2,1,10820
"RESTORED TO FACTORY, BACKLIT BLUETOOTH KEYBOARD, CLEAN ESN",0,160,Used,1,Verizon,Unknown,16,iPad 2,0,11048
"rubber lining worn out, light scratches on the&lt;br&gt;back.  works great.",1,40,Used,0,None,Unknown,16,iPad 1,1,10154
screen cracked. name engraving in the back (blacked out),1,100,Used,0,None,Unknown,16,iPad 4,1,10858
Screen is cracked and covered with tape. Appears to be functional otherwise. SOLD AS-IS.,0,89.99,For parts or not working,0,None,Unknown,16,iPad 2,0,11698
"Screen is cracked in multiple places, there is a hole in the top left of the ipad.  In need of new ",1,100,For parts or not working,0,None,White,16,iPad Air,1,11762
Screen is flawless.  There are a few minor scratches on the body.,1,1,Used,1,Verizon,Unknown,16,iPad Air,1,10768
Screen is perfect with a few minor scratches on the back (see photos),1,0.01,Used,0,None,Unknown,16,iPad 3,1,10542
Screen protector on day one when purchased.  Small scuffs on the sides of tablet.  It is fully ,0,179.95,Used,0,None,Black,16,iPad 2,0,11011
Screen turns OFF when pressure is applied on it by touching it. When applying pressure on another ,1,20,For parts or not working,0,None,Space Gray,16,iPad mini,1,11717
See below!,0,209.9,For parts or not working,0,None,Unknown,16,iPad 1,0,11724
See Images and Description!,1,0.99,Used,0,None,Space Gray,16,iPad mini,1,11039
See photos for scuffs and speaker,1,50,Used,0,None,Unknown,16,iPad mini,1,10481
selling my ipad mini  has a brand new screen  on it  i dont know whats wrong  sometimes the it works ,1,0.99,For parts or not working,0,None,Black,16,iPad mini,1,11660
Slight crack on very top screen.,1,0.99,Used,0,None,Black,16,iPad mini 3,1,10750
"Slight scratches and scuffs, Customize Blue Screen",1,0.99,Seller refurbished,0,None,Unknown,16,iPad 2,1,10397
Slightly used item in mint condition. 100% working tested and verified. NO Scratches/ or invisible ,0,164.99,Used,0,None,White,16,iPad 2,0,11847
Slightly used. Owned for a little less than a year and always in a leather bound case. Some minor ,1,99,Used,0,None,White,16,iPad mini,1,11773
Small scratches on the back of the IPad. Screen is in flawless condition.,0,275,New other (see details),0,None,Unknown,16,iPad 2,0,11554
Some light scratches to the case and screen. Overall good condition. Please see photos.,0,99.99,For parts or not working,1,Verizon,Unknown,16,iPad 3,0,11745
Sometimes the iPad shuts off and then turns back on. The exterior is in mint condition.,1,30,Used,0,None,Unknown,16,iPad 2,1,10600
Tablet is Good Working and has been reset to factory settings.,0,299.99,Used,0,None,Unknown,16,iPad 4,0,10915
Tablet is Good Working. Has been reset to the factory settings.,0,334.99,Used,1,Unknown,Unknown,16,iPad Air,0,10980
"Tested, Faulty Camera. Normal Wear and Tear on Screen. Dent on Corners. Power Supply Included.",1,9.99,Used,0,None,Unknown,16,iPad 2,1,10620
"Tested, Faulty Wi-Fi. See Pictures. Minor Dent on 2 Corners. Scuffs on Casing/Screen. Power Supply ",1,9.99,Used,0,None,Unknown,16,iPad 2,1,10379
"The Apple iPad is in fair cosmetic condition.  What&#039;s Not Included: Original box, Instructions, ",0,279.99,Used,0,None,White,16,iPad mini 2,0,11271
The Apple tablet is in good condition. The ESN is clean.  Instructions and Power adapter are not ,1,79.99,Used,1,AT&T,Black,16,iPad 1,0,10648
"the iPad is in excellent condition. The Otterbox has some wear and tear, I took a picture of a piece ",0,200,Used,1,AT&T,Unknown,16,iPad 3,1,10394
"The ipad is in great condition, it has been very well taken care of.  Please note the smart cover is ",0,400,Used,1,Sprint,Unknown,16,iPad 4,0,11395
"The iPad is in great, working condition with very little wear on the case. The screen has no ",1,1,Used,1,AT&T,Unknown,16,iPad Air,1,11099
"The LCD looks good, bright and clear with no visible imperfections. The screen glass is in good ",1,19.95,For parts or not working,0,None,White,16,iPad 2,1,11785
The screen has a few scratches. The back has scratches and scuffs and a few small dents.,1,40,Used,1,AT&T,Unknown,16,iPad 1,1,10349
"The screen is Brand New.  This item is in Heavily Used cosmetic condition. 100% Fully Functional, ",0,134.34,Used,1,AT&T,Black,16,iPad 2,0,11322
The screen is broken but can be easily fixed. The isn&#039;t shattered rather just cracked and very ,1,80,Used,0,None,Unknown,16,iPad 1,1,10345
There are many cracks on the screen of this iPad including a chip on the bottom right edge of the ,1,0.99,For parts or not working,0,None,Black,16,iPad mini,1,11689
There are minor scratches on the top back edge and very light scratchs on the back. You can&#039;t really ,1,150,Used,0,None,Black,16,iPad mini,1,10848
There is a minor issue with the LCD backlight causing the display to have a slight wavy texture. ,0,149.95,Used,0,None,Unknown,16,iPad mini 2,1,11787
This device has been updated to iOS 7 or higher. This device is in good condition with few markings ,0,188.99,Used,0,None,White,16,iPad 3,0,10465
"This device is NEW, and its in Perfect shape, no scratch, dings, or broken screens. Grade A device.",0,280,New other (see details),0,None,White,16,iPad mini 2,0,11090
This device is used but in good cosmetic condition; it has signs of normal wear and tear with some ,0,179.99,Used,1,AT&T,Unknown,16,iPad mini,1,11820
This device was previously owned but is in Mint condition. Items in Mint condition may have signs of ,0,209,Seller refurbished,0,None,Unknown,16,iPad mini,0,11815
This iPad 2 is iCloud locked I repeat it is iCloud locked if you can get the iCloud lock off of it ,1,60,Seller refurbished,0,None,White,16,iPad 2,1,10151
This iPad 2 is used and is in good working order. It has scuffs/scratches from general use and there ,0,149.99,Used,0,None,Black,16,iPad 2,1,11196
This iPad 2 is used and is in good working order. It has scuffs/scratches from general use. Note ,0,139.98,Used,0,None,Black,16,iPad 2,0,10158
This iPad has a bad IMEINo USB,1,0.99,For parts or not working,1,T-Mobile,White,16,iPad Air,1,11654
This iPad has damage on the bottom corners but it is fully operational and functions as intended. ,0,229.98,Used,0,None,White,16,iPad 3,0,10629
This iPad is a used one but works great. It has some scratches on the rear as shown in the photos ,1,125,Used,0,None,Space Gray,16,iPad 2,0,10567
"This iPad is functional. However, it has a cracked screen. Includes iPad only. Does not include ",1,0.99,For parts or not working,0,None,Unknown,16,iPad mini 2,1,11652
This iPad is ICLOUD LOCKED. You will not be able to use it. It is being sold for parts only. It is ,0,229.98,For parts or not working,0,None,Space Gray,16,iPad Air 2,0,11612
"this iPad is in absolutely perfect condition, everything inside it works seamlessly and not a ",1,50,Used,0,None,Unknown,16,iPad mini,1,10548
This iPad is in excellent like new condition and functions properly.,0,339,Used,0,None,Unknown,16,iPad Air,0,11041
This iPad is set back to factory settings with NO ICLOUD! Ready for anyone to set up! Comes in ,1,319.99,Used,0,None,White,16,iPad Air 2,1,10827
This iPad is working and is tested 100%. It runs great. It is in good condition but very small light ,0,249.99,Used,0,None,Unknown,16,iPad 4,0,10434
THIS IPAD LOOKS EXCELLENT !! IT IS UNLOCKED FOR DATA USAGE EXCEPT FOR SPRINT/TMOBILE.  IT WILL WORK ,0,379.99,Used,1,Unknown,White,16,iPad mini 2,0,11203
This iPad Mini 1st Gen sustained a very minor drop and the display glass was cracked on the top left ,1,9.99,For parts or not working,0,None,White,16,iPad mini,1,11732
This is a Apple iPad 2 16GB Wifi only. The iPad has a cracked screen and bent corner(s). In the 2nd ,0,89.99,For parts or not working,0,None,White,16,iPad 2,0,11640
This is a used iPad. It comes with a lightening cable and power brick.  There are no cracks or ,1,250,Used,1,AT&T,White,16,iPad Air,0,10261
This is my personal iPad and it is in excellent used condition. This iPad has been in a top quality ,1,79,Used,0,None,Unknown,16,iPad 1,1,10677
THIS IS USED HAS VERY LITTLE WEAR HAS A SCREEN PROTECTION PLEASE LOOK AT PICTURE,1,179,Used,1,Unknown,Black,16,iPad mini,0,10404
"This item is brand new and was never used; however, the box and/or packaging has been opened.",0,329.99,New other (see details),0,None,Space Gray,16,iPad Air,0,11858
This item is in perfect working condition with no visible wear. Delivered in original manufacturer ,0,558.17,Used,0,None,Unknown,16,iPad Air,0,11227
"This item is Used &amp; in heavily used cosmetic condition - 100% Fully Functional, iCloud Clear, ",0,129.99,Used,0,None,Black,16,iPad 2,0,10821
This item is used but well taken care of no cosmetic wears at all . Any other questions feel free to ,0,250,Used,0,None,Unknown,16,iPad mini,0,10335
This item is used but well taken care of no cosmetic wears at all . Any other questions feel free to ,0,250,Used,0,None,Unknown,16,iPad mini,0,10663
This listing does not include a charger.,0,284.99,Used,Unknown,Unknown,White,16,iPad mini 3,0,10155
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,196,Used,Unknown,Unknown,White,16,iPad 3,0,11108
This TAB is in mint condition. TAB tested 100% fully functional with a clean ESN.,0,173,Used,0,None,White,16,iPad 2,1,11015
"This tablet is in great condition it totally working but need to reactivated is the only, i do not ",1,10,For parts or not working,0,None,Unknown,16,iPad mini,1,11628
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ,0,265,Used,1,Unknown,White,16,iPad 4,0,10429
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ,0,149,Used,1,Verizon,White,16,iPad 2,0,10539
touch screen not reponding,1,0.99,For parts or not working,0,None,Unknown,16,iPad 2,1,11620
"Two scratches (top right, bottom left)",1,200,Used,0,None,Unknown,16,iPad Air,1,10449
Unit has lots of scuffs and scratches from use. Parts of bezel are missing. Digitizer has been ,0,59.99,For parts or not working,1,Verizon,Unknown,16,iPad 2,1,11852
Up for auction is this APPLE iPad 1st Gen Model MB292LL 16 GB of Memory Storage 9.7&#034; Touchscreen ,1,110,Used,0,None,White,16,iPad 2,0,10992
"Use condition, some marks and scratches, few small dents, comes with non original charger (works for ",0,180,Used,0,None,Black,16,iPad 2,0,11380
Used,1,89.99,Used,1,Other,Gold,16,iPad 3,1,10715
Used,1,99.99,Used,0,None,Gold,16,iPad Air 2,1,11066
Used - Comes with charger. In Excellent Condition,1,0.99,Used,0,None,Space Gray,16,iPad Air,1,10327
used but in extremely good condition,1,50,New other (see details),0,None,Unknown,16,iPad 2,1,10303
Used but in fair condition. It has many scratches on the housing and the screen but nothing major. ,0,214.99,Used,0,None,White,16,iPad 3,0,11318
"used for a few months, still in perfect condition",0,250,Used,0,None,White,16,iPad mini Retina,1,10346
Used for online school (2 classes),0,300,Used,0,None,Unknown,16,Unknown,1,11284
Used for only two days mint!! W blue cover,1,299.99,New other (see details),0,None,Space Gray,16,iPad mini 3,1,10227
Used in good condition. Reset to factory settings. Includes otter box.,1,0.99,Used,1,Sprint,White,16,iPad Air,1,11474
Used very little - charger not included,0,150,Used,0,None,Black,16,iPad 2,0,10994
"Used, looks great and in excellent condition. very minor signs of wear.",1,399.99,Used,0,None,Unknown,16,iPad Air 2,0,10967
"Used. Great condition, Please refer to photos for additional information.",0,319.95,Used,1,AT&T,White,16,iPad Air,0,10236
"Used. Tested Cameras, speaker, charge port, buttons and touch. Has light scratches on case. Light ",0,320,Used,1,AT&T,Gold,16,iPad Air 2,0,10266
"Used. Tested Cameras, speaker, charge port, headphone jack, buttons and touch. Has light scratches ",0,399.99,Used,1,AT&T,Gold,16,iPad Air 2,0,10563
very clean no scratch new digitizer comes with the box,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10189
VERY CLEAN!LIKE NEW!NO DENTS !VERY MINIMAL SIGNS OF USE! ALMOST MINT.wiped and ready for activation!,0,279.99,Used,0,None,Unknown,16,iPad 4,0,10850
VERY CLEAN!LIKE NEW!NO DENTS AT ALL-JUST NORMAL SIGNS OF REGULAR CAREFUL USE- LOOKS ALMOST ,0,276.99,Seller refurbished,0,None,Unknown,16,iPad 4,0,10874
VERY CLEAN!LIKE NEW!NO DENTS just very little air-like scratches in the bacK!wiped and ready for ,0,279.99,Seller refurbished,0,None,Unknown,16,iPad 4,0,10873
VERY CLEAN!LIKE NEW!ONE TINY DENT IN ONE OF THE CORNERS BUT LOOKS ALMOST NEW!SCREEN SPARKILING ,0,279.99,Seller refurbished,0,None,Unknown,16,iPad 4,0,10981
"Very gently used, looks like new, Clean ESI/IMIE",0,279.99,Used,1,AT&T,Space Gray,16,iPad Air,0,11822
very good,1,79.99,Used,0,None,White,16,iPad 1,0,10841
Very Good Condition,1,99,Used,0,None,Space Gray,16,iPad mini,1,10179
Very Good Condition,1,199.99,Used,0,None,Unknown,16,iPad mini,0,10972
Very good condition. Minor bumps and bruises. Only scratches on screen are in non-viewing black ,1,0.01,Used,1,AT&T,Unknown,16,iPad 2,1,10631
"Very good condition. Screen protector on, 1 small ding, always kept in case",0,95,Used,1,AT&T,Unknown,16,iPad 1,1,10875
Very good contidion,0,95,Used,0,None,Black,16,iPad 1,0,11309
VERY special auction for an open box Space Gray iPad Air 2 16gb Cellular. Device is covered under ,1,10,New other (see details),1,Sprint,Space Gray,16,iPad Air 2,1,10778
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,209.98,Seller refurbished,0,None,White,16,iPad mini 2,0,10018
Well Kept. Placed in a binder/protector as soon as it came off the box. Used only for occasional ,1,130,Used,0,None,Unknown,16,iPad 1,0,11009
Will contain minor scratches and other blemishes.,0,159.99,Used,0,None,Unknown,16,iPad mini,0,10969
Work fineiCloud lock,1,0.99,For parts or not working,0,None,White,16,iPad 4,1,11603
Working Condition.  Shattered and missing glass around home button.  Several cracks running across ,0,144.5,For parts or not working,0,None,Black,16,iPad 4,1,11702
"Working. Tested wifi, buttons, sound, charge port. Scratched case. Light scratches on lcd. Does not ",0,200,Used,0,None,White,16,iPad mini,0,11263
"Working. Tested wifi, sound, charge port, buttons. Scratched case. Light scratches on lcd. No ",0,200,Used,1,Verizon,Space Gray,16,iPad mini 2,0,10506
"Working. Tested wifi, touch, sound, buttons, charge port. Scratched case. Light scratches on lcd. No ",0,99,Used,1,Verizon,Black,16,iPad 2,0,10893
"Works great, just has a hairline crack",1,74.99,For parts or not working,0,None,Black,16,iPad 2,1,11669
Works great. I dinged corner. Doesn&#039;t affect use. If you add a case ding is completely unnoticeable.,1,25,Used,1,AT&T,Unknown,16,iPad 1,1,10138
Works great. Nothing wrong with it ...I just upgraded,0,249.95,Used,0,None,Unknown,16,iPad 4,1,11784
"Works perfectly, NOT iCloud locked, 1 owner. It is in not in very good conditions, but works ",0,130,Used,0,None,Black,16,iPad mini,1,10076
"Works perfectly, NOT iCloud locked, 1 owner. It is in not in very good conditions, but works ",0,130,Used,0,None,Black,16,iPad mini,1,10086
"Zero Defects, Zero Scratches, Zero Dead Pixels! Absolutely Mint Condition. Exact same condition as ",1,249,Used,0,None,White,16,iPad Air,1,10584
***** CRACKED DIGITIZER SCREEN *****,0,540,Used,1,Verizon,Unknown,32,iPad 4,0,11287
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,194.29,Seller refurbished,0,None,White,32,iPad mini,0,10093
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,388.99,Seller refurbished,1,T-Mobile,Space Gray,32,iPad Air,0,11162
"*FREE* Same-Day Ship | Factory Refurbished | 90-Day Warranty | 100% Functional, Includes All Major ",0,443.09,Manufacturer refurbished,1,T-Mobile,Space Gray,32,iPad Air,0,11168
â€œâ€œCustomer or Carrier Return. Cosmetic condition is 9.5 of 10.â€ù NOT IN ORIGINAL BOXâ€ù,0,309.99,New other (see details),0,None,White,32,iPad 4,0,10029
â€œUsed Apple Ipad 16 gig 1st generation in Great working condition and 100% functional.Very little ,0,110,Seller refurbished,0,None,Black,32,iPad 1,0,10948
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,90,Used,1,AT&T,White,32,Unknown,0,10597
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,188,Used,1,AT&T,White,32,Unknown,0,10829
A device listed in good condition with a few minor mark and/or scratches on the housing or display ,0,154,Used,1,Verizon,White,32,iPad 2,0,10928
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,182,Used,1,Verizon,White,32,iPad 2,0,10833
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,108,Used,1,AT&T,White,32,Unknown,0,11029
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,108,Used,1,AT&T,White,32,Unknown,0,11077
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,172,Used,0,None,White,32,iPad 2,0,11091
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,224,Used,1,AT&T,White,32,Unknown,0,11177
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,248,Used,1,Verizon,White,32,iPad 3,0,11230
Accounts of scuffs on back from case,1,100,Used,0,None,Unknown,32,iPad 2,1,11467
An item that has been restored to working order by the eBay seller or a third party not approved by ,0,340,Seller refurbished,1,AT&T,White,32,iPad 4,0,11160
barely used,0,325,Used,0,None,Unknown,32,iPad mini 2,0,11532
Bought refurbished by manufacturer,1,10,Used,0,None,Black,32,iPad 1,1,10876
"Broken Screen. Includes unit only, and nothing else. Unit is not icloud locked. Disclaimer: This ",0,55.66,For parts or not working,1,Verizon,White,32,iPad 1,1,11753
But in new condition no dents or scratches.,0,400,Used,1,AT&T,Unknown,32,iPad mini,0,11209
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean ESN / IMEI ",0,263.99,Seller refurbished,0,None,White,32,iPad 4,0,11208
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean ESN / IMEI ",0,280.99,Used,1,AT&T,White,32,iPad 4,0,11343
CLEAN ICLOUD..NO LOCKS..WON&#039;T POWER ON..This iPad has a bad power button and will not power on. I ,1,15,For parts or not working,1,Unknown,Black,32,iPad 1,1,11611
Comes with folding black case and is engraved in small letters on the back.  Still works perfectly,1,140,Used,0,None,Unknown,32,iPad 2,0,10683
Comes with USB Cable and wall adapter.  May have minor dings or scuffs.,0,319.95,Manufacturer refurbished,0,None,Space Gray,32,iPad Air,1,10030
condition is 9 out of 10,0,170,Used,0,None,Space Gray,32,Unknown,1,10557
Cosmetically in mint condition. 100% working. No or inivisible scratches on front screen. Back cover ,0,129.99,Used,0,None,Black,32,iPad 1,0,11848
CRACKED SCREEB - TOUCHSCREEN STILL WORKS - WAS RESET BACK TO FACTORY SETTINGS WITHOUT ISSUES - FIND ,0,129.95,For parts or not working,1,AT&T,Black,32,iPad mini,0,11824
cracked screen but fully functional. A replacement screen is included for you to install. minor ,1,75,Used,1,Unknown,White,32,iPad 2,1,10464
Device is in EXCELLENT used cosmetic condition.Device is in 100% working condition. It has  been ,0,99.94,Used,0,None,Unknown,32,iPad 1,0,10466
Device is in GOOD used cosmetic condition with normal scratches and wear. Device is in 100% WORKING ,0,105,Used,1,AT&T,Unknown,32,iPad 1,0,11201
Everything works perfect only damage shown on third picture. Screen works perfect. Original box and ,0,200,Used,Unknown,Unknown,Unknown,32,iPad 2,0,11659
Excellent condition,0,319.95,Used,0,None,White,32,iPad 3,1,11125
Excellent condition,0,379,Used,1,AT&T,White,32,iPad Air,0,11338
Excellent condition! Minimum use and has been kept in a smart case since purchase.,1,300,Used,1,Verizon,Black,32,iPad 3,0,11097
Excellent Condition.  Barely used.  No scratches or dents.,0,430,Used,1,AT&T,Unknown,32,iPad Air,0,11219
Excellent condition. Normal wear from use. no real marks because it was in a case from day 1. No ,0,375,Used,1,Verizon,White,32,iPad Air,0,11792
Good condition,0,115,Used,0,None,Unknown,32,iPad 1,0,10042
good condition,0,175,Used,0,None,Unknown,32,iPad 2,0,10129
Good condition and functional 32GB iPad Mini Wifi - Black. Please read full discription,1,179,Used,0,None,Black,32,iPad mini,0,11223
Good Condition! Fully Functional!,1,0.99,Seller refurbished,0,None,Black,32,iPad 1,1,10810
Good Condition! Fully Functional!,1,0.99,Seller refurbished,0,None,Black,32,iPad 1,1,10881
Good Condition! Fully Functional!,1,0.99,Seller refurbished,0,None,Black,32,iPad 1,1,11043
"Good condition, minor nick on right uppser corner",0,165,Used,Unknown,Unknown,Black,32,Unknown,0,10386
Great Condition,0,90,Used,0,None,Unknown,32,iPad 1,1,10859
Great condition! Minor scratches on back.,1,99.99,Used,0,None,White,32,iPad 3,1,10721
"Great shape, gently used, normal wear and tear",1,49.99,Used,0,None,Unknown,32,iPad 1,1,10387
Great Working 32GB iPad Air Wifi - Space Gray - Please read full description.,1,279,Used,0,None,Space Gray,32,iPad Air,0,11221
Great working iPad 4 32GB Wifi - Please read full desciption,1,239,Used,0,None,White,32,iPad 4,0,10929
"Heavily Used condition. 100% Fully Functional, iCloud Clear, professionally restored, inspected, and ",0,322.99,Used,0,None,Space Gray,32,iPad Air,0,10933
"Housing Condition-Moderate Scratches/Dent, No Cracked/DamagedScreen Condition-Moderate Scratches, ",0,184.95,Used,1,Verizon,Black,32,iPad 3,1,10178
I pad 2 great condition with keyword and cover,0,180,Used,0,None,Unknown,32,iPad 2,1,10664
"IMEI REVIEWED ON SWAPPA.COM.  WEBSITE SHOWS IT IS CLEAR, BUT STILL NOT SURE OF IMEI STATUS.  BUY AT ",0,124.99,Used,1,Unknown,Black,32,iPad 1,0,11803
"In 100% pristine condition. No scratches, dents, or dings",1,350,Used,1,Unknown,Space Gray,32,iPad mini 2,0,11325
"In Great Condition, with very minor scratches on back. Screen is in great condition. No Cracks.",0,275,Used,0,None,White,32,iPad 3,0,10583
In great shape! Almost new!,1,107,Used,1,Unknown,Black,32,iPad 4,1,10868
In like new condition!,0,367.97,Used,1,AT&T,Unknown,32,iPad 4,0,11222
In mint condition with all accessories.,1,50,Used,0,None,Black,32,iPad 4,1,10790
In perfect condition. No physical flaws.,0,350,Used,0,None,Unknown,32,iPad Air,0,11586
In PRISTINE condition. Not a scratch or nick on it. Was always in a case (not included.). Works ,1,145,Used,0,None,White,32,iPad mini 2,1,10634
In very good condition. Item does not have any marks of wear or damages. It is working to 100% ,1,100,Used,0,None,Unknown,32,iPad 4,0,10489
"Includes AC adapter, case, screen protector and box; Case and screen protector have scuffs and ",1,244.96,Used,0,None,White,32,iPad 4,0,10722
"Includes iPad, charger, wall plug, and Apple iPad Smart Case. Front screen excellent condition ",1,0.99,Used,0,None,Unknown,32,iPad 3,1,10152
"INTERNATIONAL BUYERS/FREIGHT FORWARDERS: WE ARE NOT ABLE TO SHIP INTERNATIONALLY, NOR TO FREIGHT ",0,249.99,Used,1,AT&T,Black,32,iPad 4,0,11018
"iPad has average amount of scratches, scuffs and possible dings on the corners, but overall Good ",0,159.93,Used,1,Verizon,Unknown,32,iPad 2,0,10149
iPad has been restored to the factory default settings.,0,104.7,Used,0,None,Unknown,32,iPad 1,1,11190
iPad has been tested and is in good working condition; Includes AC adapter USB cable; Screen and ,1,224.98,Used,0,None,White,32,iPad 4,0,10532
iPad has minor cracks in glass. Only minor crack or no cracks at all on actual viewing area. Fully ,0,129.95,For parts or not working,1,Unknown,Black,32,iPad 2,0,11675
iPad is cracked but fully functional. Everything works well and just needs the screen (digitizer) to ,0,128,For parts or not working,0,None,White,32,iPad 3,0,11643
iPad is cracked but fully functional. Everything works well and just needs the screen (digitizer) to ,0,128,For parts or not working,0,None,White,32,iPad 3,0,11658
iPad is cracked but fully functional. Everything works well and just needs the screen (digitizer) to ,0,128,For parts or not working,0,None,White,32,iPad 3,0,11739
iPad is iCL0UD locked and therefore being sold AS IS for parts. iPad is in NEAR MINT physical ,0,222.72,Used,0,None,Unknown,32,iPad mini 2,0,10674
iPad is in good working condition. Includes power adapter and Lightning USB charging cable. iPad has ,1,249.98,Used,1,AT&T,Space Gray,32,iPad Air,1,10467
iPad shows essentially no signs of use. Smart cover has minimal signs of use.,1,0.99,Used,0,None,Space Gray,32,iPad Air,1,11180
iPad won&#039;t power on..iPhone is in average shape,1,100,For parts or not working,Unknown,Unknown,Unknown,32,iPad 1,0,11718
iPad would not update after last software upgrade from Apple,1,25,For parts or not working,0,None,Unknown,32,iPad 3,1,11624
It works perfect. Just minor scuffs.,0,199.97,Used,0,None,Unknown,32,iPad mini,0,11089
Item has been professionally tested and inspected. Tests show that all features work correctly. This ,0,153.99,Used,0,None,White,32,iPad 2,0,11251
Item has been professionally tested and inspected. Tests show that all features work correctly. This ,0,142.25,Used,0,None,Black,32,iPad 2,0,11275
Item has original packaging. Original packaging has stickers on box. Minor screen flaw (Does not ,1,97.5,Used,1,Verizon,Unknown,32,iPad 2,1,10329
Item is fully functioning. It has a crack in the top right corner of the screen.,1,150,For parts or not working,0,None,Unknown,32,iPad 3,0,11713
"Item is in fantastic condition. Has been used for about 3 years, but has been kept in a padfolio ",1,185,Used,0,None,White,32,iPad 4,1,10311
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ,1,249.97,Used,1,Unknown,Unknown,32,iPad 2,0,10904
Item shows signs of heavy wear,1,0.99,Used,1,Verizon,Unknown,32,iPad mini,1,10305
Just broken screen still works fine,1,25,For parts or not working,0,None,White,32,iPad mini,1,11661
Like New!!!,0,105,Used,0,None,Unknown,32,iPad 1,0,11537
like new&lt;br&gt;,1,250,Used,Unknown,AT&T,Unknown,32,Unknown,0,11195
"Like new, hardly ever used.",1,125,Used,0,None,Unknown,32,iPad 2,1,10621
"Like new, used by an adult only. Always kept I sleeve when not in use.",1,239,Used,0,None,Space Gray,32,iPad mini 2,1,10823
Like new. Has been in case and has screen protector since day one. not a scratch on it.,1,99.99,Used,0,None,White,32,iPad 2,1,10407
"Minor crack in top-back housing, minor dent in lower right housing.",0,289.99,Used,1,AT&T,Unknown,32,iPad 4,0,10574
"Minor scrapes, dings, scuffs and scratches associated with normal medium duty wear and use. No major ",1,74,Used,1,AT&T,Black,32,iPad 2,1,10355
"Mint condition! Not a scratch on it and comes with a case cover (black),charger and cable",1,60,Used,0,None,Space Gray,32,iPad 1,1,10626
